Kind,Name,Cyclomatic,CountLineCode,Essential
File,"JUnit4SuiteWithJUnit4TestCaseWithErrorInBeforeClass.java",,8,
File,"JUnit4SuiteWithPlainJUnit4TestCaseWithSingleTestWhichIsIgnored.java",,8,
File,"JUnit4SuiteWithTwoTestCases.java",,8,
File,"JUnit4TestCaseWithAssumptionFailureInBeforeClass.java",,15,
File,"JUnit4TestCaseWithErrorCollectorStoringMultipleFailures.java",,19,
File,"JUnit4TestCaseWithErrorInAfterClass.java",,20,
File,"JUnit4TestCaseWithErrorInBeforeClass.java",,14,
File,"JUnit4TestCaseWithExceptionThrowingRunner.java",,7,
File,"JUnit4TestCaseWithOverloadedMethod.java",,19,
File,"JUnit4TestCaseWithRunnerWithCustomUniqueIds.java",,11,
File,"JUnit4Tests.java",,7,
File,"JUnit5EngineExecutionContextTests.java",,57,
File,"JUnitException.java",,13,
File,"JUnitPlatform.java",,225,
File,"JUnitPlatformProvider.java",,160,
File,"JUnitPlatformProviderTests.java",,316,
File,"JUnitPlatformRunnerListener.java",,68,
File,"JUnitPlatformRunnerTests.java",,585,
File,"JUnitPlatformTestSuite.java",,12,
File,"JUnitPlatformTestTree.java",,111,
File,"JavaElementsResolver.java",,173,
File,"JavaTimeArgumentConverter.java",,51,
File,"JavaTimeArgumentConverterTests.java",,90,
File,"JavaTimeConversionPattern.java",,17,
File,"JupiterEngineDescriptor.java",,27,
File,"JupiterEngineExecutionContext.java",,105,
File,"JupiterEngineExtensionContext.java",,34,
File,"JupiterIntegration.java",,22,
File,"JupiterMigrationSupportTestSuite.java",,12,
File,"JupiterParamsIntegration.java",,11,
File,"JupiterTestDescriptor.java",,99,
File,"JupiterTestDescriptorTests.java",,206,
File,"JupiterTestEngine.java",,49,
File,"JupiterTestEngineBasicTests.java",,22,
File,"JupiterTestSuite.java",,12,
File,"JupiterUniqueIdBuilder.java",,29,
File,"KeyValuePairConverter.java",,17,
File,"KitchenSinkExtension.java",,62,
File,"Launcher.java",,9,
File,"LauncherBasedEnableRuleMigrationSupportTests.java",,99,
File,"LauncherConfigurationParameters.java",,95,
File,"LauncherConfigurationParametersTests.java",,90,
File,"LauncherDiscoveryRequest.java",,13,
File,"LauncherDiscoveryRequestBuilder.java",,76,
File,"LauncherDiscoveryRequestBuilderTests.java",,237,
File,"LauncherFactory.java",,18,
