Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,ContainerForStaticNestedTest.java,1,1,,,,,1,,9
File,ContainerForStaticNestedTests.java,1,1,,,,,1,,9
File,ConvertWith.java,0,0,,,,,1,,15
File,CsvArgumentsProvider.java,8,1,,,,,3,,54
File,CsvArgumentsProviderTests.java,12,1,,,,,11,,69
File,CsvFileArgumentsProvider.java,18,1,,,,,11,,115
File,CsvFileArgumentsProviderTests.java,23,1,,,,,18,,138
File,CsvFileSource.java,0,0,,,,,5,,20
File,CsvParsingException.java,2,1,,,,,2,,14
File,CsvSource.java,0,0,,,,,2,,17
File,CustomAnnotation.java,0,0,,,,,0,,9
File,CustomAnnotationParameterResolver.java,2,1,,,,,2,,15
File,CustomContextClassLoaderExecutor.java,4,1,,,,,3,,26
File,CustomContextClassLoaderExecutorTests.java,4,1,,,,,2,,33
File,CustomTestEngine.java,3,1,,,,,3,,20
File,CustomType.java,1,1,,,,,1,,9
File,CustomTypeParameterResolver.java,2,1,,,,,2,,14
File,DatabaseTestsDemo.java,5,1,,,,,5,,34
File,DefaultArgumentConverter.java,28,1,,,,,17,,196
File,DefaultArgumentConverterTests.java,19,1,,,,,19,,165
File,DefaultArgumentsAccessor.java,18,1,,,,,15,,88
File,DefaultArgumentsAccessorTests.java,28,1,,,,,21,,121
File,DefaultDiscoveryRequest.java,6,1,,,,,6,,50
File,DefaultExecutionModeTests.java,22,1,,,,,17,,147
File,DefaultJupiterConfiguration.java,7,1,,,,,7,,50
File,DefaultJupiterConfigurationTests.java,14,1,,,,,4,,49
File,DefaultLauncher.java,37,1,,,,,16,,184
File,DefaultLauncherConfig.java,5,1,,,,,5,,35
File,DefaultLauncherTests.java,50,1,,,,,37,,441
File,DefaultMethodDescriptor.java,7,1,,,,,7,,42
File,DefaultMethodOrdererContext.java,5,1,,,,,5,,34
File,DefaultMethodTests.java,50,1,,,,,15,,163
Class,DefaultPackageTestCase,1,1,1,0,0,1,1,,5
Class,DefaultPackageTestCase,1,1,1,0,0,1,1,,5
File,DefaultPackageTestCase.java,1,1,,,,,1,,8
File,DefaultPackageTestCase.java,1,1,,,,,1,,8
Method,DefaultPackageTestCase.test,1,,,,,,,1,2
Method,DefaultPackageTestCase.test,1,,,,,,,1,2
File,DefaultParallelExecutionConfiguration.java,6,1,,,,,6,,36
File,DefaultParallelExecutionConfigurationStrategy.java,12,1,,,,,6,,62
File,DefaultParallelExecutionConfigurationStrategyTests.java,22,1,,,,,15,,132
File,DefaultParameterContext.java,10,1,,,,,9,,66
File,DefaultTestInstanceFactoryContext.java,4,1,,,,,4,,27
File,DefaultTestInstances.java,9,1,,,,,7,,49
File,DefaultTestInstancesTests.java,2,1,,,,,2,,29
File,DefaultUriSource.java,7,1,,,,,5,,35
File,DefaultUriSourceTests.java,6,1,,,,,5,,35
File,DefensiveAllDefaultPossibilitiesBuilder.java,17,1,,,,,11,,88
File,DemoClassTestDescriptor.java,6,1,,,,,3,,40
File,DemoEngineExecutionContext.java,0,0,,,,,0,,3
File,DemoHierarchicalContainerDescriptor.java,9,1,,,,,7,,43
File,DemoHierarchicalEngineDescriptor.java,7,1,,,,,5,,30
File,DemoHierarchicalTestDescriptor.java,9,1,,,,,6,,39
File,DemoHierarchicalTestEngine.java,12,1,,,,,12,,65
File,DemoMethodTestDescriptor.java,9,1,,,,,5,,54
File,DequeStack.java,5,1,,,,,5,,26
File,Details.java,3,1,,,,,3,,15
File,DirectorySelector.java,9,1,,,,,7,,48
File,DirectorySelectorTests.java,1,1,,,,,1,,12
File,DirectorySource.java,10,1,,,,,7,,53
File,Disabled.java,0,0,,,,,1,,15
File,DisabledClassDemo.java,1,1,,,,,1,,9
File,DisabledCondition.java,3,1,,,,,1,,24
File,DisabledIf.java,0,0,,,,,3,,17
File,DisabledIfEnvironmentVariable.java,0,0,,,,,2,,18
File,DisabledIfEnvironmentVariableCondition.java,7,1,,,,,2,,40
File,DisabledIfEnvironmentVariableConditionTests.java,11,1,,,,,10,,64
File,DisabledIfEnvironmentVariableIntegrationTests.java,7,1,,,,,7,,46
File,DisabledIfSystemProperty.java,0,0,,,,,2,,18
File,DisabledIfSystemPropertyCondition.java,6,2,,,,,1,,37
File,DisabledIfSystemPropertyConditionTests.java,11,1,,,,,11,,66
File,DisabledIfSystemPropertyIntegrationTests.java,9,1,,,,,9,,55
File,DisabledIfTests.java,19,1,,,,,19,,119
File,DisabledOnJre.java,0,0,,,,,1,,17
File,DisabledOnJreCondition.java,3,1,,,,,1,,25
File,DisabledOnJreConditionTests.java,14,1,,,,,13,,83
File,DisabledOnJreIntegrationTests.java,10,1,,,,,10,,70
File,DisabledOnOs.java,0,0,,,,,1,,17
File,DisabledOnOsCondition.java,3,1,,,,,1,,25
File,DisabledOnOsConditionTests.java,13,1,,,,,12,,76
File,DisabledOnOsIntegrationTests.java,9,1,,,,,9,,70
File,DisabledTests.java,8,1,,,,,5,,43
File,DisabledTestsDemo.java,2,1,,,,,2,,12
File,DiscoveryFilter.java,0,0,,,,,0,,6
File,DiscoveryFilterApplier.java,5,1,,,,,2,,22
File,DiscoveryFilterApplierTests.java,7,1,,,,,7,,100
File,DiscoveryFilterStub.java,2,1,,,,,2,,13
File,DiscoveryRequestCreator.java,16,1,,,,,6,,99
File,DiscoveryRequestCreatorTests.java,20,1,,,,,20,,210
File,DiscoverySelector.java,0,0,,,,,0,,6
File,DiscoverySelectorResolver.java,5,1,,,,,5,,55
File,DiscoverySelectorResolver.java,0,0,,,,,1,,6
File,DiscoverySelectorResolverTests.java,65,1,,,,,62,,643
File,DiscoverySelectors.java,27,1,,,,,22,,146
File,DiscoverySelectorsTests.java,118,1,,,,,69,,491
File,DiscoveryTests.java,18,1,,,,,18,,126
File,DisplayName.java,0,0,,,,,1,,15
File,DisplayNameDemo.java,3,1,,,,,3,,18
File,DisplayNameGeneration.java,0,0,,,,,1,,17
File,DisplayNameGenerationTests.java,27,1,,,,,25,,183
File,DisplayNameGenerator.java,8,1,,,,,11,,49
File,DisplayNameGeneratorDemo.java,7,1,,,,,7,,49
File,DisplayNameUtils.java,17,1,,,,,6,,72
File,DocumentationDemo.java,5,1,,,,,5,,29
File,DocumentationTestSuite.java,0,0,,,,,0,,12
File,DoubleParameterResolver.java,2,1,,,,,2,,14
File,DynamicContainer.java,5,1,,,,,5,,29
File,DynamicContainerTestDescriptor.java,6,1,,,,,4,,46
File,DynamicDescendantFilter.java,8,1,,,,,6,,32
File,DynamicNode.java,4,1,,,,,4,,29
File,DynamicNodeGenerationTests.java,70,1,,,,,27,,399
File,DynamicNodeTestDescriptor.java,4,1,,,,,4,,30
File,DynamicTest.java,7,1,,,,,5,,38
File,DynamicTestTestDescriptor.java,3,1,,,,,3,,25
File,DynamicTestTests.java,15,1,,,,,9,,90
File,DynamicTestsDemo.java,35,1,,,,,13,,112
File,ElementResolver.java,0,0,,,,,2,,10
File,EmptyArgumentsProvider.java,7,3,,,,,1,,42
