Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,EnigmaThrowable.java,0,0,,,,,0,,4
File,EnumArgumentsProvider.java,5,1,,,,,2,,31
File,EnumArgumentsProviderTests.java,16,1,,,,,10,,64
File,EnumSource.java,14,1,,,,,10,,63
File,EnumSourceTests.java,33,1,,,,,10,,79
File,EqualsContract.java,3,1,,,,,4,,25
File,ExceptionHandlingTests.java,21,1,,,,,17,,179
File,ExceptionThrowingRunner.java,4,1,,,,,4,,35
File,ExceptionUtils.java,4,1,,,,,4,,27
File,ExceptionUtilsTests.java,10,1,,,,,5,,37
File,ExcludeClassNameFilter.java,9,1,,,,,6,,31
File,ExcludeClassNamePatterns.java,0,0,,,,,1,,17
File,ExcludeEngines.java,0,0,,,,,1,,17
File,ExcludePackageNameFilter.java,11,1,,,,,7,,45
File,ExcludePackages.java,0,0,,,,,1,,17
File,ExcludeTags.java,0,0,,,,,1,,17
File,ExclusionReasonConsumingFilter.java,3,1,,,,,2,,25
File,Executable.java,0,0,,,,,1,,8
File,ExecutableInvoker.java,22,1,,,,,8,,124
File,ExecutableInvokerTests.java,52,1,,,,,45,,293
File,ExecutionCondition.java,0,0,,,,,1,,8
File,ExecutionConditionTests.java,18,1,,,,,18,,134
File,ExecutionEvent.java,16,1,,,,,15,,68
File,ExecutionEventConditions.java,28,1,,,,,25,,126
File,ExecutionEventRecorder.java,33,1,,,,,32,,138
File,ExecutionListenerAdapter.java,7,1,,,,,7,,41
File,ExecutionListenerAdapterTests.java,4,1,,,,,4,,44
File,ExecutionRequest.java,4,1,,,,,4,,26
File,ExecutionTracker.java,2,1,,,,,2,,14
File,ExpectToFail.java,3,1,,,,,3,,30
File,ExpectedExceptionAdapter.java,4,1,,,,,3,,22
File,ExpectedExceptionSupport.java,5,1,,,,,3,,33
File,ExpectedExceptionSupportTests.java,10,1,,,,,9,,103
File,ExtendWith.java,0,0,,,,,1,,19
File,Extension.java,0,0,,,,,0,,6
File,ExtensionComposabilityTests.java,7,1,,,,,3,,61
File,ExtensionConfigurationException.java,1,1,,,,,1,,11
File,ExtensionContext.java,10,1,,,,,27,,81
File,ExtensionContextException.java,1,1,,,,,1,,12
File,ExtensionContextExecutionTests.java,8,1,,,,,7,,72
File,ExtensionContextTests.java,49,1,,,,,10,,194
File,ExtensionRegistry.java,21,1,,,,,13,,105
File,ExtensionRegistryTests.java,16,1,,,,,16,,141
File,ExtensionStoreConcurrencyTests.java,6,1,,,,,3,,26
File,ExtensionValuesStore.java,30,1,,,,,15,,131
File,ExtensionValuesStoreTests.java,44,1,,,,,30,,256
File,Extensions.java,0,0,,,,,1,,17
File,ExternalResourceAdapter.java,3,1,,,,,3,,19
File,ExternalResourceSupport.java,2,1,,,,,2,,20
File,ExternalResourceSupportForDifferentDeclaredReturnTypesRulesTests.java,10,1,,,,,8,,55
File,ExternalResourceSupportForMixedMethodAndFieldRulesTests.java,11,1,,,,,8,,64
File,ExternalResourceSupportForMultipleFieldRulesTests.java,8,1,,,,,6,,49
File,ExternalResourceSupportForMultipleMethodRulesTests.java,10,1,,,,,8,,53
File,ExternalResourceSupportForTemporaryFolderFieldTests.java,2,1,,,,,2,,23
File,ExternalResourceSupportWithInheritanceTests.java,0,0,,,,,0,,4
File,ExternalResourceWithoutAdapterTests.java,3,1,,,,,2,,22
File,FailAfterAllHelper.java,1,1,,,,,1,,6
File,FailAssertionsTests.java,24,1,,,,,9,,110
File,Fast.java,0,0,,,,,0,,11
File,FilePosition.java,11,1,,,,,9,,59
File,FilePositionTests.java,7,1,,,,,5,,45
File,FileSelector.java,5,1,,,,,5,,30
File,FileSource.java,13,1,,,,,10,,69
File,FileSystemSource.java,0,0,,,,,1,,9
File,FileSystemSourceTests.java,7,1,,,,,6,,55
